,Numbers,Images,Names,Values
0,1,https://tmssl.akamaized.net//images/portrait/small/240414-1449131500.jpg?lm=1449131539,Alex Meret,£27.00m  
1,25,https://tmssl.akamaized.net//images/portrait/small/73396-1496216427.jpg?lm=1496216437,David Ospina,£3.60m  
2,27,https://tmssl.akamaized.net//images/portrait/small/16408-1455531876.jpg?lm=1455531890,Orestis Karnezis,£1.35m  
3,26,https://tmssl.akamaized.net//images/portrait/small/93128-1448528991.jpg?lm=1448529031,Kalidou Koulibaly,£67.50m  
4,44,https://tmssl.akamaized.net//images/portrait/small/104752-1448465990.jpg?lm=1448466007,Konstantinos Manolas,£40.50m  
5,19,https://tmssl.akamaized.net//images/portrait/small/124715-1454413853.jpg?lm=1454413854,Nikola Maksimovic,£15.30m  
6,62,https://tmssl.akamaized.net//images/portrait/small/111347-1449070994.jpg?lm=1449071037,Lorenzo Tonelli,£6.30m  
7,13,https://tmssl.akamaized.net//images/portrait/small/278531-1448529465.jpg?lm=1448529491,Sebastiano Luperto,£3.60m  
8,31,https://tmssl.akamaized.net//images/portrait/small/126656-1448529070.jpg?lm=1448529092,Faouzi Ghoulam,£20.70m  
9,6,https://tmssl.akamaized.net//images/portrait/small/87884-1455533442.jpg?lm=1455533458,Mário Rui,£13.50m  
10,23,https://tmssl.akamaized.net//images/portrait/small/200056-1448529186.jpg?lm=1448529212,Elseid Hysaj,£16.20m  
11,2,https://tmssl.akamaized.net//images/portrait/small/126711-1535095789.jpg?lm=1535095799,Kévin Malcuit,£14.40m  
12,22,https://tmssl.akamaized.net//images/portrait/small/169880-1535011899.jpg?lm=1535011914,Giovanni Di Lorenzo,£13.50m  
13,5,https://tmssl.akamaized.net//images/portrait/small/126422-1448529525.jpg?lm=1448529550,Allan,£54.00m  
14,8,https://tmssl.akamaized.net//images/portrait/small/350219-1545230107.jpg?lm=1545230121,Fabián Ruiz,£54.00m  
15,20,https://tmssl.akamaized.net//images/portrait/small/181136-1449071327.jpg?lm=1449071366,Piotr Zielinski,£36.00m  
16,12,https://tmssl.akamaized.net//images/portrait/small/400489-1563865733.jpg?lm=1563865843,Eljif Elmas,£15.30m  
17,70,https://tmssl.akamaized.net//images/portrait/small/358008-1568295369.jpg?lm=1568295379,Gianluca Gaetano,£720k  
18,24,https://tmssl.akamaized.net//images/portrait/small/133964-1537708558.jpg?lm=1537708571,Lorenzo Insigne,£58.50m  
19,11,https://tmssl.akamaized.net//images/portrait/small/316889-1536655850.jpg?lm=1536655865,Hirving Lozano,£36.00m  
20,34,https://tmssl.akamaized.net//images/portrait/small/96167-1517913715.jpg?lm=1517913741,Amin Younes,£7.20m  
21,98,https://tmssl.akamaized.net//images/portrait/small/351898-1561983516.jpg?lm=1561983543,Leandrinho,£450k  
22,7,https://tmssl.akamaized.net//images/portrait/small/61253-1448529945.jpg?lm=1448529978,José Callejón,£18.00m  
23,18,https://tmssl.akamaized.net//images/portrait/small/159902-1504703035.jpg?lm=1504703059,Amato Ciciretti,£1.35m  
24,99,https://tmssl.akamaized.net//images/portrait/small/191891-1407956389.jpg?lm=1433143898,Arkadiusz Milik,£36.00m  
25,14,https://tmssl.akamaized.net//images/portrait/small/56416-1455552069.jpg?lm=1455552108,Dries Mertens,£22.50m  
26,9,https://tmssl.akamaized.net//images/portrait/small/35564-1447240179.jpg?lm=1447240222,Fernando Llorente,£4.50m  
